model,batch_size,id,latency_ns
llama3_70b,128,12,596032
llama3_70b,128,13,658048
llama3_70b,128,14,620896
llama3_70b,128,15,642400
llama3_70b,128,16,605344
llama3_70b,128,17,611712
llama3_70b,128,18,625280
llama3_70b,128,19,586144
llama3_70b,128,2,577248
llama3_70b,128,20,625536
llama3_70b,128,21,631360
llama3_70b,128,22,595488
llama3_70b,128,23,536320
llama3_70b,128,24,626560
llama3_70b,128,25,594688
llama3_70b,128,26,591360
llama3_70b,128,27,588128
llama3_70b,128,28,607168
llama3_70b,128,29,611616
llama3_70b,128,3,627712
llama3_70b,128,30,645056
llama3_70b,128,31,621408
llama3_70b,128,32,627904
llama3_70b,128,33,632896
llama3_70b,128,34,619168
llama3_70b,128,35,615904
llama3_70b,128,36,569504
llama3_70b,128,37,605280
llama3_70b,128,38,623872
llama3_70b,128,39,623200
llama3_70b,128,4,610368
llama3_70b,128,40,636928
llama3_70b,128,41,616000
llama3_70b,128,42,578208
llama3_70b,128,43,603712
llama3_70b,128,44,630560
llama3_70b,128,45,588992
llama3_70b,128,46,604320
llama3_70b,128,47,641504
llama3_70b,128,48,603392
llama3_70b,128,49,580256
llama3_70b,128,5,638144
llama3_70b,128,50,629664
llama3_70b,128,51,571328
llama3_70b,128,52,590304
llama3_70b,128,53,562464
llama3_70b,128,54,638432
llama3_70b,128,55,634080
llama3_70b,128,56,590304
llama3_70b,128,57,599424
llama3_70b,128,58,594464
llama3_70b,128,59,634784
llama3_70b,128,6,605376
llama3_70b,128,60,657536
llama3_70b,128,61,583680
llama3_70b,128,62,601088
llama3_70b,128,63,662112
llama3_70b,128,64,611584
llama3_70b,128,65,624384
llama3_70b,128,66,580192
llama3_70b,128,67,604384
llama3_70b,128,68,617952
llama3_70b,128,69,633216
llama3_70b,128,7,566688
llama3_70b,128,70,618400
llama3_70b,128,71,654976
llama3_70b,128,72,623904
llama3_70b,128,73,613568
llama3_70b,128,74,603456
llama3_70b,128,75,664768
llama3_70b,128,76,621728
llama3_70b,128,77,586080
llama3_70b,128,78,654848
llama3_70b,128,79,579488
llama3_70b,128,8,609952
llama3_70b,128,80,613280
llama3_70b,128,81,624896
llama3_70b,128,82,577408
llama3_70b,128,83,597344
llama3_70b,128,84,641248
llama3_70b,128,85,591008
llama3_70b,128,86,615392
llama3_70b,128,87,574176
llama3_70b,128,88,636480
llama3_70b,128,89,660800
llama3_70b,128,9,602304
llama3_70b,128,90,611584
llama3_70b,128,91,612672
llama3_70b,128,92,642048
llama3_70b,128,93,601184
llama3_70b,128,94,623104
llama3_70b,128,95,659008
llama3_70b,128,96,556128
llama3_70b,128,97,605248
llama3_70b,128,98,617024
llama3_70b,128,99,590560
llama3_70b,16,1,90432
llama3_70b,16,10,88032
llama3_70b,16,100,100992
llama3_70b,16,11,78720
llama3_70b,16,12,75072
llama3_70b,16,13,96544
llama3_70b,16,14,72576
llama3_70b,16,15,83712
llama3_70b,16,16,85440
llama3_70b,16,17,80000
llama3_70b,16,18,94240
llama3_70b,16,19,90752
llama3_70b,16,2,86272
llama3_70b,16,20,103648
llama3_70b,16,21,88800
llama3_70b,16,22,83424
llama3_70b,16,23,83296
llama3_70b,16,24,89792
llama3_70b,16,25,76672
llama3_70b,16,26,101152
llama3_70b,16,27,79904
llama3_70b,16,28,74336
llama3_70b,16,29,94688
llama3_70b,16,3,84320
llama3_70b,16,30,65216
llama3_70b,16,31,86816
llama3_70b,16,32,68544
llama3_70b,16,33,84416
llama3_70b,16,34,78432
llama3_70b,16,35,102304
llama3_70b,16,36,72896
llama3_70b,16,37,82176
llama3_70b,16,38,84416
llama3_70b,16,39,92704
llama3_70b,16,4,89792
llama3_70b,16,40,80704
llama3_70b,16,41,87104
llama3_70b,16,42,97600
llama3_70b,16,43,100096
llama3_70b,16,44,83744
llama3_70b,16,45,89472
llama3_70b,16,46,53376
llama3_70b,16,47,77280
llama3_70b,16,48,77856
llama3_70b,16,49,88224
llama3_70b,16,5,71104
llama3_70b,16,50,103168
llama3_70b,16,51,82144
llama3_70b,16,52,56864
llama3_70b,16,53,73088
llama3_70b,16,54,94656
llama3_70b,16,55,83200
llama3_70b,16,56,101536
llama3_70b,16,57,87424
llama3_70b,16,58,77056
llama3_70b,16,59,90720
llama3_70b,16,6,92992
llama3_70b,16,60,71520
llama3_70b,16,61,83360
llama3_70b,16,62,90848
llama3_70b,16,63,74944
llama3_70b,16,64,97568
llama3_70b,16,65,77440
llama3_70b,16,66,95072
llama3_70b,16,67,88128
llama3_70b,16,68,89504
llama3_70b,16,69,96800
llama3_70b,16,7,73664
llama3_70b,16,70,103392
llama3_70b,16,71,80096
llama3_70b,16,72,85216
llama3_70b,16,73,90784
llama3_70b,16,74,84544
llama3_70b,16,75,86624
llama3_70b,16,76,86368
llama3_70b,16,77,97088
llama3_70b,16,78,84865
llama3_70b,16,79,80672
llama3_70b,16,8,93024
llama3_70b,16,80,97952
llama3_70b,16,81,93856
llama3_70b,16,82,65664
llama3_70b,16,83,104384
llama3_70b,16,84,82752
llama3_70b,16,85,70720
llama3_70b,16,86,98112
llama3_70b,16,87,95360
llama3_70b,16,88,89664
llama3_70b,16,89,83296
llama3_70b,16,9,78912
llama3_70b,16,90,86592
llama3_70b,16,91,75968
llama3_70b,16,92,101088
llama3_70b,16,93,66336
llama3_70b,16,94,80544
llama3_70b,16,95,83200
llama3_70b,16,96,86880
llama3_70b,16,97,98144
llama3_70b,16,98,107872
llama3_70b,16,99,70624
llama3_70b,32,1,168960
llama3_70b,32,10,154496
llama3_70b,32,100,169344
llama3_70b,32,11,177760
llama3_70b,32,12,174336
llama3_70b,32,13,179936
llama3_70b,32,14,175904
llama3_70b,32,15,173248
llama3_70b,32,16,168512
llama3_70b,32,17,180832
llama3_70b,32,18,169472
llama3_70b,32,19,173248
llama3_70b,32,2,171648
llama3_70b,32,20,180992
llama3_70b,32,21,182688
llama3_70b,32,22,172704
llama3_70b,32,23,184288
llama3_70b,32,24,182048
llama3_70b,32,25,166080
llama3_70b,32,26,191168
llama3_70b,32,27,157952
llama3_70b,32,28,190080
llama3_70b,32,29,175744
llama3_70b,32,3,179008
llama3_70b,32,30,184000
llama3_70b,32,31,187584
llama3_70b,32,32,180288
llama3_70b,32,33,175072
llama3_70b,32,34,174464
llama3_70b,32,35,155968
llama3_70b,32,36,168000
llama3_70b,32,37,159008
llama3_70b,32,38,171424
llama3_70b,32,39,179552
llama3_70b,32,4,177152
llama3_70b,32,40,190688
llama3_70b,32,41,187744
llama3_70b,32,42,158496
llama3_70b,32,43,178720
llama3_70b,32,44,176160
llama3_70b,32,45,178912
llama3_70b,32,46,185120
llama3_70b,32,47,185056
llama3_70b,32,48,174080
llama3_70b,32,49,176864
llama3_70b,32,5,174016
llama3_70b,32,50,181184
llama3_70b,32,51,170304
llama3_70b,32,52,172416
llama3_70b,32,53,176896
llama3_70b,32,54,167200
llama3_70b,32,55,165471
llama3_70b,32,56,169920
llama3_70b,32,57,179648
llama3_70b,32,58,165280
llama3_70b,32,59,166144
llama3_70b,32,6,189120
llama3_70b,32,60,154528
llama3_70b,32,61,180576
llama3_70b,32,62,149472
llama3_70b,32,63,175040
llama3_70b,32,64,179616
llama3_70b,32,65,179296
llama3_70b,32,66,171680
llama3_70b,32,67,143776
llama3_70b,32,68,178720
llama3_70b,32,69,187968
llama3_70b,32,7,180096
llama3_70b,32,70,189440
llama3_70b,32,71,157568
llama3_70b,32,72,182816
llama3_70b,32,73,161920
llama3_70b,32,74,174912
llama3_70b,32,75,200128
llama3_70b,32,76,179424
llama3_70b,32,77,160704
llama3_70b,32,78,182432
llama3_70b,32,79,187648
llama3_70b,32,8,179968
llama3_70b,32,80,159040
llama3_70b,32,81,187104
llama3_70b,32,82,168448
llama3_70b,32,83,184096
llama3_70b,32,84,177856
llama3_70b,32,85,202432
llama3_70b,32,86,186208
llama3_70b,32,87,204416
llama3_70b,32,88,173920
llama3_70b,32,89,177248
llama3_70b,32,9,202528
llama3_70b,32,90,158176
