tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
2880,82112,0.4755,0.125,8,8,16,128,1,2,126,0,145024
2896,82048,0.4743,0.125,8,8,16,128,1,2,126,0,145024
2912,81792,0.4779,0.125,8,8,16,128,1,2,126,0,145024
2928,82944,0.4817,0.125,8,8,16,128,1,2,126,0,145024
2944,82016,0.4732,0.125,8,8,16,128,1,2,126,0,145024
2960,82816,0.4851,0.125,8,8,16,128,1,2,126,0,145024
2976,82432,0.4825,0.125,8,8,16,128,1,2,126,0,145024
2992,82688,0.4864,0.125,8,8,16,128,1,2,126,0,145024
3008,82944,0.4943,0.125,8,8,16,128,1,2,126,0,145024
3024,83840,0.4836,0.125,8,8,16,128,1,2,126,0,145024
3040,82944,0.49,0.125,8,8,16,128,1,2,126,0,145024
3056,83424,0.4957,0.125,8,8,16,128,1,2,126,0,145024
3072,82688,0.4894,0.125,8,8,16,128,1,2,126,0,145024
3088,84288,0.4933,0.125,8,8,16,128,1,2,126,0,145024
3104,84736,0.4963,0.125,8,8,16,128,1,2,126,0,145024
3120,85056,0.4938,0.125,8,8,16,128,1,2,126,0,145024
3136,85440,0.5007,0.125,8,8,16,128,1,2,126,0,145024
3152,84256,0.5084,0.125,8,8,16,128,1,2,126,0,145024
3168,85344,0.505,0.125,8,8,16,128,1,2,126,0,145024
3184,84928,0.5024,0.125,8,8,16,128,1,2,126,0,145024
3200,85664,0.5017,0.125,8,8,16,128,1,2,126,0,145024
3216,86784,0.5063,0.125,8,8,16,128,1,2,126,0,145024
3232,85856,0.5034,0.125,8,8,16,128,1,2,126,0,145024
3248,86624,0.5042,0.125,8,8,16,128,1,2,126,0,145024
3264,86688,0.5106,0.125,8,8,16,128,1,2,126,0,145024
3280,86112,0.5167,0.125,8,8,16,128,1,2,126,0,145024
3296,85888,0.5196,0.125,8,8,16,128,1,2,126,0,145024
3312,86496,0.5111,0.125,8,8,16,128,1,2,126,0,145024
3328,86080,0.5145,0.125,8,8,16,128,1,2,126,0,145024
3344,87488,0.5179,0.125,8,8,16,128,1,2,126,0,145024
3360,88096,0.5063,0.125,8,8,16,128,1,2,126,0,145024
3376,87776,0.5123,0.125,8,8,16,128,1,2,126,0,145024
3392,89024,0.5196,0.125,8,8,16,128,1,2,126,0,145024
3408,87808,0.5245,0.125,8,8,16,128,1,2,126,0,145024
3424,88224,0.5233,0.125,8,8,16,128,1,2,126,0,145024
3440,88224,0.5277,0.125,8,8,16,128,1,2,126,0,145024
3456,87616,0.5233,0.125,8,8,16,128,1,2,126,0,145024
3472,89632,0.5228,0.125,8,8,16,128,1,2,126,0,145024
3488,89280,0.5295,0.125,8,8,16,128,1,2,126,0,145024
3504,88800,0.5348,0.125,8,8,16,128,1,2,126,0,145024
3520,89664,0.5338,0.125,8,8,16,128,1,2,126,0,145024
3536,89504,0.5329,0.125,8,8,16,128,1,2,126,0,145024
3552,90144,0.5433,0.125,8,8,16,128,1,2,126,0,145024
3568,89952,0.54,0.125,8,8,16,128,1,2,126,0,145024
3584,90304,0.5235,0.125,8,8,16,128,1,2,126,0,145024
3600,92352,0.5327,0.125,8,8,16,128,1,2,126,0,145024
3616,91328,0.533,0.125,8,8,16,128,1,2,126,0,145024
3632,91936,0.5408,0.125,8,8,16,128,1,2,126,0,145024
3648,91712,0.5409,0.125,8,8,16,128,1,2,126,0,145024
3664,92768,0.5375,0.125,8,8,16,128,1,2,126,0,145024
3680,91968,0.54,0.125,8,8,16,128,1,2,126,0,145024
3696,92384,0.5517,0.125,8,8,16,128,1,2,126,0,145024
3712,91712,0.5409,0.125,8,8,16,128,1,2,126,0,145024
3728,93408,0.5449,0.125,8,8,16,128,1,2,126,0,145024
3744,92800,0.5517,0.125,8,8,16,128,1,2,126,0,145024
3760,93856,0.5476,0.125,8,8,16,128,1,2,126,0,145024
3776,93632,0.55,0.125,8,8,16,128,1,2,126,0,145024
3792,93856,0.5502,0.125,8,8,16,128,1,2,126,0,145024
3808,93504,0.5578,0.125,8,8,16,128,1,2,126,0,145024
3824,94656,0.5553,0.125,8,8,16,128,1,2,126,0,145024
3840,94240,0.5401,0.125,8,8,16,128,1,2,126,0,145024
3856,96832,0.5557,0.125,8,8,16,128,1,2,126,0,145024
3872,98048,0.5587,0.125,8,8,16,128,1,2,126,0,145024
3888,97792,0.5523,0.125,8,8,16,128,1,2,126,0,145024
3904,98016,0.56,0.125,8,8,16,128,1,2,126,0,145024
3920,97856,0.568,0.125,8,8,16,128,1,2,126,0,145024
3936,98656,0.5593,0.125,8,8,16,128,1,2,126,0,145024
3952,98272,0.5732,0.125,8,8,16,128,1,2,126,0,145024
3968,98560,0.5604,0.125,8,8,16,128,1,2,126,0,145024
3984,99872,0.5644,0.125,8,8,16,128,1,2,126,0,145024
4000,99264,0.5631,0.125,8,8,16,128,1,2,126,0,145024
4016,99232,0.569,0.125,8,8,16,128,1,2,126,0,145024
4032,99744,0.5662,0.125,8,8,16,128,1,2,126,0,145024
4048,99136,0.5711,0.125,8,8,16,128,1,2,126,0,145024
4064,99904,0.5783,0.125,8,8,16,128,1,2,126,0,145024
4080,99456,0.5688,0.125,8,8,16,128,1,2,126,0,145024
4096,98496,0.546,0.125,8,8,16,128,1,2,126,0,145024
4112,105600,0.5348,0.125,8,8,16,128,1,2,126,0,145024
4128,105408,0.5332,0.125,8,8,16,128,1,2,126,0,145024
4144,104672,0.5491,0.125,8,8,16,128,1,2,126,0,145024
4160,105312,0.5589,0.125,8,8,16,128,1,2,126,0,145024
4176,106304,0.5517,0.125,8,8,16,128,1,2,126,0,145024
4192,106112,0.552,0.125,8,8,16,128,1,2,126,0,145024
4208,103936,0.5552,0.125,8,8,16,128,1,2,126,0,145024
4224,105088,0.5465,0.125,8,8,16,128,1,2,126,0,145024
4240,106112,0.555,0.125,8,8,16,128,1,2,126,0,145024
4256,108480,0.5577,0.125,8,8,16,128,1,2,126,0,145024
4272,107968,0.5646,0.125,8,8,16,128,1,2,126,0,145024
4288,108384,0.5513,0.125,8,8,16,128,1,2,126,0,145024
4304,106880,0.5606,0.125,8,8,16,128,1,2,126,0,145024
4320,107040,0.5407,0.125,8,8,16,128,1,2,126,0,145024
4336,107424,0.5577,0.125,8,8,16,128,1,2,126,0,145024
4352,106944,0.5554,0.125,8,8,16,128,1,2,126,0,145024
4368,108832,0.5561,0.125,8,8,16,128,1,2,126,0,145024
4384,108896,0.565,0.125,8,8,16,128,1,2,126,0,145024
4400,109216,0.5555,0.125,8,8,16,128,1,2,126,0,145024
4416,108992,0.5638,0.125,8,8,16,128,1,2,126,0,145024
4432,108064,0.565,0.125,8,8,16,128,1,2,126,0,145024
4448,108672,0.5582,0.125,8,8,16,128,1,2,126,0,145024
4464,108960,0.5636,0.125,8,8,16,128,1,2,126,0,145024
4480,110560,0.5661,0.125,8,8,16,128,1,2,126,0,145024
4496,110112,0.5673,0.125,8,8,16,128,1,2,126,0,145024
4512,108992,0.5704,0.125,8,8,16,128,1,2,126,0,145024
4528,108928,0.5658,0.125,8,8,16,128,1,2,126,0,145024
4544,109216,0.5697,0.125,8,8,16,128,1,2,126,0,145024
4560,110432,0.5681,0.125,8,8,16,128,1,2,126,0,145024
4576,111264,0.5648,0.125,8,8,16,128,1,2,126,0,145024
4592,110816,0.583,0.125,8,8,16,128,1,2,126,0,145024
4608,110976,0.5662,0.125,8,8,16,128,1,2,126,0,145024
4624,111680,0.5785,0.125,8,8,16,128,1,2,126,0,145024
4640,112384,0.5738,0.125,8,8,16,128,1,2,126,0,145024
4656,110656,0.5788,0.125,8,8,16,128,1,2,126,0,145024
4672,112480,0.5795,0.125,8,8,16,128,1,2,126,0,145024
4688,113856,0.5826,0.125,8,8,16,128,1,2,126,0,145024
4704,111520,0.5849,0.125,8,8,16,128,1,2,126,0,145024
4720,111904,0.5868,0.125,8,8,16,128,1,2,126,0,145024
4736,111648,0.5938,0.125,8,8,16,128,1,2,126,0,145024
4752,113760,0.5833,0.125,8,8,16,128,1,2,126,0,145024
4768,112928,0.5877,0.125,8,8,16,128,1,2,126,0,145024
4784,112224,0.5873,0.125,8,8,16,128,1,2,126,0,145024
4800,112704,0.5847,0.125,8,8,16,128,1,2,126,0,145024
4816,112512,0.5892,0.125,8,8,16,128,1,2,126,0,145024
4832,111936,0.5887,0.125,8,8,16,128,1,2,126,0,145024
4848,112672,0.5971,0.125,8,8,16,128,1,2,126,0,145024
4864,113856,0.6008,0.125,8,8,16,128,1,2,126,0,145024
4880,114592,0.589,0.125,8,8,16,128,1,2,126,0,145024
4896,114688,0.6089,0.125,8,8,16,128,1,2,126,0,145024
4912,115456,0.5956,0.125,8,8,16,128,1,2,126,0,145024
4928,114528,0.5957,0.125,8,8,16,128,1,2,126,0,145024
4944,115968,0.6089,0.125,8,8,16,128,1,2,126,0,145024
4960,115040,0.6075,0.125,8,8,16,128,1,2,126,0,145024
4976,115168,0.6106,0.125,8,8,16,128,1,2,126,0,145024
4992,114208,0.6048,0.125,8,8,16,128,1,2,126,0,145024
5008,115488,0.6077,0.125,8,8,16,128,1,2,126,0,145024
5024,116160,0.6105,0.125,8,8,16,128,1,2,126,0,145024
5040,116160,0.6114,0.125,8,8,16,128,1,2,126,0,145024
5056,117152,0.608,0.125,8,8,16,128,1,2,126,0,145024
5072,116128,0.6106,0.125,8,8,16,128,1,2,126,0,145024
5088,116384,0.6072,0.125,8,8,16,128,1,2,126,0,145024
5104,117056,0.6194,0.125,8,8,16,128,1,2,126,0,145024
5120,116576,0.6089,0.125,8,8,16,128,1,2,126,0,145024
5136,118240,0.6063,0.125,8,8,16,128,1,2,126,0,145024
5152,118688,0.6104,0.125,8,8,16,128,1,2,126,0,145024
5168,119104,0.6049,0.125,8,8,16,128,1,2,126,0,145024
5184,118400,0.6115,0.125,8,8,16,128,1,2,126,0,145024
5200,119296,0.6159,0.125,8,8,16,128,1,2,126,0,145024
5216,119104,0.6232,0.125,8,8,16,128,1,2,126,0,145024
5232,118432,0.6212,0.125,8,8,16,128,1,2,126,0,145024
5248,118368,0.6162,0.125,8,8,16,128,1,2,126,0,145024
5264,120416,0.6043,0.125,8,8,16,128,1,2,126,0,145024
5280,120352,0.6164,0.125,8,8,16,128,1,2,126,0,145024
5296,120960,0.6208,0.125,8,8,16,128,1,2,126,0,145024
5312,119616,0.6251,0.125,8,8,16,128,1,2,126,0,145024
5328,120160,0.6268,0.125,8,8,16,128,1,2,126,0,145024
5344,120448,0.6256,0.125,8,8,16,128,1,2,126,0,145024
