tokens,latency_ns
5296,13651603
5312,13690482
5328,13723187
5344,13550356
5360,13637395
5376,13747411
5392,13919954
5408,14042706
5424,14110961
5440,14168721
5456,14361137
5472,14153457
5488,14187250
5504,14043186
5520,14600464
5536,14513872
5552,14543280
5568,14568976
5584,14445809
5600,14839663
5616,14389904
5632,14607984
5648,14792175
5664,14591184
5680,14921231
5696,14539120
5712,14866511
5728,14729231
5744,14757200
5760,14957966
5776,15129870
5792,15128046
5808,15162639
5824,15179918
5840,15180622
5856,15222093
5872,15456333
5888,15214286
5904,15442446
5920,15421517
5936,15461645
5952,15421965
5968,15122702
5984,15280206
6000,15471117
6016,15529549
6032,15944236
6048,15954731
6064,15691021
6080,15764661
6096,15865653
6112,15892725
6128,15887094
6144,15910453
6160,16174900
6176,16287732
6192,16287764
6208,16325300
6224,15972980
6240,16179253
6256,16289716
6272,16291700
6288,16612275
6304,16608051
6320,16643411
6336,16604531
6352,16214708
6368,16422131
6384,16689267
6400,16751827
6416,17166034
6432,16943218
6448,16858611
6464,16880947
6480,16696339
6496,16747091
6512,16712819
6528,16818099
6544,17098354
6560,16929938
6576,17386001
6592,17241202
6608,17074898
6624,17161074
6640,17141938
6656,17030610
6672,17373233
6688,17265233
6704,17377745
6720,17216081
6736,17317585
6752,17510161
6768,17505137
6784,17419505
6800,17903855
6816,17868784
6832,17692400
6848,17539475
6864,17464308
6880,17701011
6896,17799890
6912,17822130
6928,18279954
6944,18228402
6960,17896115
6976,18096882
6992,17921138
7008,18266674
7024,18205458
7040,17865907
7056,18713008
7072,18316146
7088,18590225
7104,18767312
7120,18599537
7136,18418226
7152,18416881
7168,18710288
7184,18884656
7200,18647089
7216,18562769
7232,18917616
7248,19079024
7264,18671985
7280,18537137
7296,19078512
7312,19042927
7328,18953968
7344,19359055
7360,19289455
7376,19078831
7392,19102416
7408,19416559
7424,19183056
7440,19149743
7456,20052845
7472,19499918
7488,19375790
7504,20039821
7520,19798286
7536,19194959
7552,20103788
7568,19825773
7584,19563149
7600,20198732
7616,19979980
7632,19717037
7648,20425899
7664,19828396
7680,19813932
7696,20660170
7712,19903980
7728,20814506
7744,20479147
7760,20100204
7776,20146859
7792,20278027
7808,20504074
7824,20223084
7840,20991273
7856,20499946
7872,20263435
7888,20735467
7904,20275979
7920,20899369
7936,20231563
7952,21083466
7968,20609418
7984,21097386
8000,20626506
